Contenedores Usados: 8
Volumen Disponible: 20600m3
Volumen Ocupado: 63880
Cajas a transportar: 200NumCont	formato	coordenadas	orientacion
1	F	(0, 0, 0)	1
1	F	(1, 0, 0)	1
1	F	(2, 0, 0)	1
1	F	(3, 0, 0)	1
1	F	(4, 0, 0)	1
1	F	(5, 0, 0)	1
1	F	(6, 0, 0)	1
1	F	(7, 0, 0)	1
1	F	(8, 0, 0)	1
1	F	(9, 0, 0)	1
1	F	(10, 0, 0)	1
1	F	(11, 0, 0)	1
1	F	(12, 0, 0)	1
1	F	(13, 0, 0)	1
1	F	(14, 0, 0)	1
1	F	(15, 0, 0)	1
1	F	(16, 0, 0)	1
1	F	(17, 0, 0)	1
1	F	(18, 0, 0)	1
1	F	(19, 0, 0)	1
1	E	(20, 0, 0)	4
1	H	(0, 5, 0)	1
1	H	(13, 5, 0)	4
1	E	(0, 17, 0)	1
1	E	(9, 17, 0)	1
1	E	(18, 17, 0)	3
1	D	(0, 0, 17)	1
1	D	(4, 0, 17)	1
1	D	(12, 0, 17)	1
1	D	(16, 0, 17)	1
1	D	(16, 4, 17)	1
1	D	(20, 4, 17)	2
1	D	(0, 12, 17)	1
1	D	(4, 12, 17)	1
1	D	(12, 12, 17)	1
1	D	(16, 12, 17)	1
1	D	(16, 16, 17)	2
1	J	(0, 20, 17)	2
1	J	(4, 20, 17)	1
1	J	(8, 20, 17)	2
1	J	(12, 20, 17)	1
1	J	(16, 20, 17)	2
1	J	(20, 20, 17)	1
2	H	(0, 0, 0)	1
2	H	(13, 0, 0)	4
2	H	(0, 12, 0)	3
2	A	(13, 12, 0)	1
2	D	(21, 12, 0)	4
2	J	(21, 20, 0)	4
2	A	(0, 0, 13)	1
2	A	(8, 0, 13)	1
2	E	(17, 0, 13)	2
2	J	(22, 0, 13)	1
2	J	(22, 4, 13)	1
2	J	(22, 8, 13)	1
2	A	(0, 12, 13)	1
2	A	(9, 12, 13)	1
2	E	(18, 12, 13)	1
3	H	(0, 0, 0)	1
3	H	(12, 0, 0)	2
3	A	(0, 13, 0)	1
3	A	(9, 13, 0)	1
3	C	(18, 13, 0)	1
3	H	(0, 0, 10)	1
3	H	(12, 0, 10)	2
3	A	(0, 13, 10)	1
3	A	(9, 13, 10)	1
3	C	(18, 13, 10)	2
4	H	(0, 0, 0)	1
4	H	(12, 0, 0)	2
4	A	(0, 13, 0)	1
4	A	(9, 13, 0)	1
4	C	(18, 13, 0)	1
4	H	(0, 0, 10)	1
4	H	(12, 0, 10)	2
4	A	(0, 13, 10)	1
4	A	(9, 13, 10)	1
4	C	(18, 13, 10)	2
5	H	(0, 0, 0)	1
5	H	(12, 0, 0)	2
5	A	(0, 13, 0)	1
5	A	(9, 13, 0)	1
5	C	(18, 13, 0)	1
5	H	(0, 0, 10)	1
5	H	(12, 0, 10)	2
5	A	(0, 13, 10)	1
5	A	(9, 13, 10)	1
5	C	(18, 13, 10)	2
6	H	(0, 0, 0)	1
6	H	(12, 0, 0)	2
6	A	(0, 13, 0)	1
